,title,comment,num_commits,files_changed,code_churn,Root Cause,Manifestation,Category
10,,,0,0,0,Other,other failure, 
11,"
        MySQL does not support ? in regex
      ","

No description provided.

.",1,1,4,regEx,compile error, 
12,,,0,0,0,Other,other failure, 
13,"
        Non-greedy regex for matching HTML comments
      ","
Fixes #151
.",1,2,4,regEx,incorrect behavior,incorrect extraction
14,"
        Fix possible subrip timing line NPE
      ","
Fixes a possible NPE when reading the subrips timing line. We've had this occur for multiple users. Most likely due to corrupt srts, but would prefer the subs to just not appear in this scenario.
Not sure of your style guide (re: ternary operators), but figured it was tidier to reuse the ""matches"" check as in both scenarios the timing line is ""invalid"".
Error seen in the wild (trimmed) is:
Fatal Exception: java.lang.NullPointerException: Attempt to invoke interface method 'int java.lang.CharSequence.length()' on a null object reference  
       at java.util.regex.Matcher.reset(Matcher.java:995)  
       at java.util.regex.Matcher.<init>(Matcher.java:174)  
       at java.util.regex.Pattern.matcher(Pattern.java:1006)  
       at com.google.android.exoplayer2.text.subrip.SubripDecoder.decode(SubripDecoder.java:72)

.",1,1,4,regEx,bad smell,code smells
15,"
        Fix AttributeError Regex Bug
      ","

Adjusted AttributeError regex for when error names an attribute that includes non-word characters

To test:

Before importing changes, try using a length method or property for a string
Note that an error is thrown because found variable is null
Import changes and now no error should be thrown

.",2,0,0,regEx,incorrect behavior,rejecting valid strings (T1)
16,"
        Issue with regular expression for CODEC attribute
      ","
Previous regular expression for extracting codec information was wrong,
given a line that defines a variant it added information from “CODEC=“
text to the end of the line (including also information about
RESOLUTION or alternate rendition groups as part of the CODEC field).
This is not causing a functional problem (at least known by me)
although is making codecs field storing information that is not related
with the codec.
.",1,0,0,regEx,new feature,rejecting valid strings (T1)
17,,,0,0,0,Other,other failure, 
18,"
        Fix Java Comment RegEx Bug
      ","

Fixed bug where the ZeroDivisionError would get blocked by the Java Comment Regex for Wrong Language Syntax Detection

.",2,1,2,Other,incorrect behavior,accepting invalid strings(T2)
19,"
        Add support for suffix after mount point for autofs 
      ","
This adds the ability to modify the suffix after the mount point.
This introduces two new options in the configuration: suffix and prefix
prefix: A regular expression to capture a prefix, or mount point.
suffix: A regular expression to modify the prefix.
If you have :ufs-33-a.i
This allows you to easily change the suffix: ufs-33-a.ib
The config file for this operation would look something like this:
[suffix]
suffix_base = """"
suffix = """"
I used ConfigParser inside files.py, but I am guessing that will need to be changed.
.",6,4,25,regEx,new feature,regex configuration entry
20,,,0,0,0,Other,other failure, 
21,"
        Support comma separators in ISO-8601 date/time format for milliseconds
      ","
Presently the regex for parsing ISO-8601 formatted datetimes for supporting EXT-X-PROGRAM-DATE-TIME in HLS only supports period (.) separators.  Some HLS stream packagers use commas (,) to separate milliseconds.
Examples:
2014-08-06T11:00:00.000Z
2014-08-06T11:00:00,000Z
ISO 8601:2004 states that parsers should support both delineators, with a preference for commas.
Additional information

A decimal mark, either a comma or a dot (without any preference as stated in resolution 10 of the 22nd General Conference CGPM in 2003,[16] but with a preference for a comma according to ISO 8601:2004)

.",1,0,0,regEx,bad smell,rejecting valid strings (T1)
22,"
        Update RegEx in js-to-json to match windows EOL
      ","
The current regex only works with the \n line endings as it expects a single character at the end of the line
after the ; and \r\n in windows counts as two.
This causes the en.json and qqq.json files to be recreated with 0 string entries after the metadata, so the entire file would just end up being:
{
    ""@metadata"": {
        ""author"": ""Ellen Spertus "",
        ""lastupdated"": ""2016-02-05 15:45:48.323000"",
        ""locale"": ""en"",
        ""messagedocumentation"" : ""qqq""
    },
}
Which then causes an issue in the createmessages.js script as it expects at least a single key after the metadata and end up causing issues like:
Error reading .\msg\json\en.json
Traceback (most recent call last):
  File ""i18n\create_messages.py"", line 149, in <module>
    main()
  File ""i18n\create_messages.py"", line 65, in main
    source_defs = read_json_file(os.path.join(os.curdir, args.source_lang_file))
  File ""C:\Users\***\Documents\GitHub\blockly\i18n\common.py"", line 64, in read_json_file
    raise InputError(filename, str(e))
common.InputError: .\msg\json\en.json: Expecting property name enclosed in double quotes: line 9 column 1 (char 176)
('Error running i18n/create_messages.py: ', CalledProcessError())

This is similar to #248, with a slightly different implementation, and would fix #447.
.",1,0,0,regEx,bad smell,rejecting valid strings (T1)
23,"
        No-regex-spaces
      ","
The basics

 I branched from develop
 My pull request is against develop
 My code follows the style guide

The details
Resolves
None
Proposed Changes
Clean up the last piece of lint by using  {2} instead of   in a regex.
Reason for Changes
Application of the no-regex-spaces rule.
Test Coverage
Tested by running through some of the generator tests with different values for Blockly.Python.INDENT and verifying that the correct substitutions were occurring.  Tested with four spaces, two spaces and words (random word instead of spaces, should be inserted once for every two spaces in the original code.)
Additional Information
N/A
.",1,1,2,regEx,bad smell,code smells
24,,,0,0,0,Other,other failure, 
25,"
        feat(predicate): Added STR_REGEX
      ","
@jtk54
.",1,0,0,Other,new feature,regex like implementation
26,"
        Regex validator.
      ","
Fixes #159.
.",4,0,0,Other,other failure,regex like implementation
27,"
        Removed unecessary forced regex
      ","
This forced modification of the regex causes a brutal performance hit (7s queries vs 0.3s queries in the tested example).  It would be better to send the regex as desired in any calls to this.  This appears to be what it is doing in filestore_stats.py, but I'm not clear on all of the other places where this is getting called.  This passes unit tests and I am going to begin testing it in a live test environment, but any heads up on other places where this change needs to be accounted for would be appreciated.
.",1,0,0,regEx,bad smell,code smells
28,"
        Edit pylintrc file
      ","
Update the regex in some of the fields, make sure the pylint adheres to google style standards as much as possible
.",1,0,0,regEx,bad smell,bad smells
29,"
        Replace the reduction error regex by a plain error string
      ","

No description provided.

.",1,0,0,regEx,bad smell,bad smells
30,"
        Issue #108: Shortcuts for boolean arguments
      ","
In response to this issue.  This adds a feature where a shortcut can be used for boolean arguments of functions.  For example the function
def foo(bar=False):
can be invoked as foo -b to set bar to True.  While developing this, I came across a couple concerns:

In detecting whether or not arguments matched the pattern of a bool shortcut, I decided that python's regex library was the best way to solve this problem.  Is adding re to imports ok?
If a naming collision occurs (see final assert of testBoolShortcutParsing) the program raises a FireError describing the ambiguity.  Is this a proper manner to use this error in?
Currently, if a shortcut doesn't match any function argument, it is parsed as-is.  Should something else be done in this scenario?

.",10,3,75,regEx,new feature,data processing
31,"
        Fix string equality validator and add test for the previously broken case
      ","
Previously for the equality validator, we'd just pass in the string as a regex pattern and use re.match() - but match will accept trailing characters in the candidate strings. Add fix for the issue and unit test.
.",1,0,0,regEx,new feature,accepting invalid strings(T2)
32,"
        Enabled https regex for AdminUI
      ","
Just changed regex to allow entering an https:// url during initialization.

.",1,0,0,regEx,incorrect behavior,rejecting valid strings (T1)
33,"
        Fix Cloud Project ID regex.
      ","
Update the Cloud Project ID regular expressions to match all valid Cloud Project ID's.
.",2,0,0,regEx,incorrect behavior, 
34,,,0,0,0,Other,other failure, 
35,"
        Fix #698 by adjusting the regex to not have \.  Still not 100% sure w…
      ","
…hy that was there.
Also replaces bad names on input.  There are probably more invalid names but this is
a start.

This change is 
.",3,3,23,regEx,bad smell, 
,title,comment,num_commits,files_changed,code_churn,Root Cause,Manifestation,Category
0,"
        Removed unnecessary regex escaping
      ","
This may not be the best way to solve this, but the normal use only involves _ and it gets escaped to _ so the datastore is unable to optimize against using a regex since ultimately the whole query becomes the full attribute and not a regex at all.  This changes the queries for even a 1hr window from multiple 5+ second queries all queries being sub 1s.
.",1,0,0,regEx,bad smell,code smells
,title,comment,num_commits,files_changed,code_churn,Root Cause,Manifestation,Category
0,"
        Removed unnecessary regex escaping
      ","
This may not be the best way to solve this, but the normal use only involves _ and it gets escaped to _ so the datastore is unable to optimize against using a regex since ultimately the whole query becomes the full attribute and not a regex at all.  This changes the queries for even a 1hr window from multiple 5+ second queries all queries being sub 1s.
.",1,1,2,regEx,bad smell,code smells
,title,comment,num_commits,files_changed,code_churn,Root Cause,Manifestation,Category
0,"
        Removed unnecessary regex escaping
      ","
This may not be the best way to solve this, but the normal use only involves _ and it gets escaped to _ so the datastore is unable to optimize against using a regex since ultimately the whole query becomes the full attribute and not a regex at all.  This changes the queries for even a 1hr window from multiple 5+ second queries all queries being sub 1s.
.",1,1,2,regEx,bad smell,code smells
